gar_bro_id,date,gmw_bro_id,nitg_code,tube_number,screen_top_m_nap,screen_bottom_m_nap,ground_level_m_nap,screen_depth_below_ground_m,NO3_mgL,NO3_limit,NH4_mgL,NH4_limit,NO2_mgL,NO2_limit,Cl_mgL,SO4_mgL
GAR000000052325,1982-06-25,GMW000000022762,B49E0222,5,-115.27,-117.27,14.33,131.6,,,,,,,,
GAR000000061189,2008-12-01,GMW000000004888,B42E0340,5,-115.83,-116.83,4.17,121.0,,,,,,,,13000
GAR000000004492,1994-12-01,GMW000000037744,B26D0091,3,-114.84,-115.84,-3.86,111.98,0.01,LT,1.94,,0.01,LT,1.7,18
GAR000000004493,1998-10-29,GMW000000037744,B26D0091,3,-114.84,-115.84,-3.86,111.98,0.11,LT,2.48,,0.006,LT,0.9,21
GAR000000004912,2006-06-07,GMW000000011641,B16D0085,3,-114.2,-115.2,-0.5,114.7,0.01,,2.64,,0.003,LT,,1400
GAR000000004913,2015-10-29,GMW000000011641,B16D0085,3,-114.2,-115.2,-0.5,114.7,0.05,LT,2.9,,0.01,LT,20,1000
GAR000000004967,1994-11-15,GMW000000011611,B20F0173,3,-113.92,-114.92,-3.84,111.08,0.01,LT,6.84,,0.01,LT,11,2190
GAR000000004968,1996-11-26,GMW000000011611,B20F0173,3,-113.92,-114.92,-3.84,111.08,0.11,LT,10.11,,0.003,LT,7.1,1500
GAR000000004969,2015-10-22,GMW000000011611,B20F0173,3,-113.92,-114.92,-3.84,111.08,0.12,,4.9,,0.01,,6.7,3600
GAR000000004970,2018-11-15,GMW000000011611,B20F0173,3,-113.92,-114.92,-3.84,111.08,0.05,LT,4.7,,0.01,LT,29,3000
GAR000000065310,2024-10-15,GMW000000011611,B20F0173,3,-113.92,-114.92,-3.84,111.08,0.05,LT,5.43,,0.01,LT,716.81,3266.14
GAR000000061086,1998-08-14,GMW000000004904,B42E0238,5,-113.83,-114.83,5.17,120.0,,,,,,,,14597
GAR000000061253,2008-12-01,GMW000000004904,B42E0238,5,-113.83,-114.83,5.17,120.0,,,,,,,,14000
GAR000000039060,2005-10-28,GMW000000079605,B27C0041,3,-112.45,-114.45,57.38,171.83,0.19,,0.24,LT,,,0.6,9.8
GAR000000039061,2006-05-12,GMW000000079605,B27C0041,3,-112.45,-114.45,57.38,171.83,0.174,,0.241,LT,,,0.654,9.64
GAR000000039069,2008-07-03,GMW000000079605,B27C0041,3,-112.45,-114.45,57.38,171.83,0.269,,0.241,LT,,,0.9,9.58
